ID_ESTUDIOS,ESTATUS DE ESTUDIO,ANIO,ESTADOS,TITULO_ORIGINAL,TITULO_BUSQUEDA,EMPRESA,FUENTE,CONTRATO,EJEMPLARES,TOMOS,CARATULA,PDF,ESTADO_ARCHIVOS
853,FÍSICO,1989,QUINTANA ROO,"ACTIVIDADES GEOHIDROLÓGICAS COMPLEMENTARIAS EN EL ÁREA DEL CORREDOR TURÍSTICO CANCÚN-TULUM, ESTADO DE QUINTANA ROO.","ACTIVIDADES GEOHIDROLÓGICAS COMPLEMENTARIAS EN EL ÁREA DEL CORREDOR TURÍSTICO CANCÚN-TULUM, ESTADO DE QUINTANA ROO.",,COMISIÓN NACIONAL DEL AGUA (CONAGUA),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/23 QUINTANA ROO/PDF/0853_CC.pdf,,QUINTANA ROO
854,FÍSICO,2005,NAYARIT,"ESTUDIO DE ACTUALIZACIÓN DE LAS CONDICIONES HIDROGEOLÓGICAS DEL ACUÍFERO SAN PEDRO-TUXPAN, NAYARIT","ESTUDIO DE ACTUALIZACIÓN DE LAS CONDICIONES HIDROGEOLÓGICAS DEL ACUÍFERO SAN PEDRO-TUXPAN, ESTADO DE NAYARIT, 1802 SAN PEDRO - TUXPAN","SERVICIOS Y PROYECTOS DE INGENIERÍA CIVIL, SOCIEDAD ANÓNIMA DE CAPITAL VARIABLE (SPIC)",COMISIÓN NACIONAL DEL AGUA (CONAGUA),SGT-PN-NAY-05-TE-027-RF-I3,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/18 NAYARIT/PDF/0854_CC.pdf,,NAYARIT
856,DIGITAL,1977,CHIHUAHUA,ESTUDIOS DE LAS CUENCAS LACUSTRES TERCIARIAS EN LA PORCIÓN SUR DEL EDO. DE CHIH.,ESTUDIOS DE LAS CUENCAS LACUSTRES TERCIARIAS EN LA PORCIÓN SUR DEL EDO. DE CHIHUAHUA,"TÉCNICAS MODERNAS DE INGENIERÍA, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),GZA-77-20 E,1,1,,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/08 CHIHUAHUA/PDF/0856_EC.pdf,CHIHUAHUA
858,FÍSICO,1977,COAHUILA DE ZARAGOZA CHIHUAHUA SINALOA,"INFORME FINAL DEL ESTUDIO ""SERVICIOS DE PROSPECCIÓN Y LEVANTAMIENTOS GEOLÓGICOS Y GEOFÍSICOS EN LOS ESTADOS DE COAHUILA, CHIHUAHUA Y SINALOA""","INFORME FINAL DEL ESTUDIO ""SERVICIOS DE PROSPECCIÓN Y LEVANTAMIENTOS GEOLÓGICOS Y GEOFÍSICOS EN LOS ESTADOS DE COAHUILA, CHIHUAHUA Y SINALOA""","TÉCNICAS MODERNAS DE INGENIERÍA, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),GZA-77-20-E,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0858_CC.pdf,,SINALOA
859,AMBOS,1978,SINALOA,"SERVICIOS DE PROSPECCIÓN Y LEVANTAMIENTOS GEOLÓGICOS Y GEOFÍSICOS EN EL ÁREA DE COSALA, EN EL ESTADO DE SINALOA","SERVICIOS DE PROSPECCIÓN Y LEVANTAMIENTOS GEOLÓGICOS Y GEOFÍSICOS EN EL ÁREA DE COSALA, EN EL ESTADO DE SINALOA","PERFORACIONES Y ESTUDIOS GEOLÓGICOS, SOCIEDAD ANÓNIMA (PEGSA)",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0859_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0859_EC.pdf,SINALOA
861,FÍSICO,2006,SAN LUIS POTOSÍ,"ESTUDIO DE ACTUALIZACIÓN GEOHIDROLÓGICA EN EL ACUÍFERO RÍO VERDE, EN EL ESTADO DE SAN LUIS POTOSÍ","ESTUDIO DE ACTUALIZACIÓN GEOHIDROLÓGICA EN EL ACUÍFERO RÍO VERDE, EN EL ESTADO DE SAN LUIS POTOSÍ","DESARROLLO Y SISTEMAS, SOCIEDAD ANÓNIMA",COMISIÓN NACIONAL DEL AGUA (CONAGUA),SGT-GN-SLP-06-043-RF-LP,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/24 SAN LUIS POTOSÍ/PDF/0861_CC.pdf,,SAN LUIS POTOSÍ
862,AMBOS,1975,SINALOA,"INTERPRETACIÓN DE DATOS Y ESTUDIOS A NIVEL PRELIMINAR DEL VALLE DEL RÍO FUERTE, SINALOA.","INTERPRETACIÓN DE DATOS Y ESTUDIOS A NIVEL PRELIMINAR DEL VALLE DEL RÍO FUERTE, SINALOA.","TÉCNICAS MODERNAS DE INGENIERÍA, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0862_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0862_EC.pdf,SINALOA
863,AMBOS,1978,SINALOA,"EVALUACIÓN DE ACUÍFEROS EN LA ZONA FUERTE-SINALOA, EN EL ESTADO DE SINALOA","EVALUACIÓN DE ACUÍFEROS EN LA ZONA FUERTE-SINALOA, EN EL ESTADO DE SINALOA",,,GZA-78-31,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0863_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0863_EC.pdf,SINALOA
865,AMBOS,1978,SINALOA,ESTUDIO DE EVALUACIÓN DE ACUÍFEROS EN DIVERSAS ZONAS DEL ESTADO DE SINALOA,ESTUDIO DE EVALUACIÓN DE ACUÍFEROS EN DIVERSAS ZONAS DEL ESTADO DE SINALOA,"SERVICIOS GEOLÓGICOS, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0865_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0865_EC.pdf,SINALOA
866,AMBOS,1978,SINALOA,"EVALUACIÓN DE ACUÍFEROS EN LA ZONA ""CULIACÁN-SAN LORENZO"", EN EL ESTADO DE SINALOA","EVALUACIÓN DE ACUÍFEROS EN LA ZONA ""CULIACÁN-SAN LORENZO"", EN EL ESTADO DE SINALOA","GEOHIDROLOGÍA MEXICANA, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),GZA-78-32-G,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0866_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0866_EC.pdf,SINALOA
871,AMBOS,1978,SINALOA,"SERVICIOS DE PROSPECCIÓN Y LEVANTAMIENTOS GEOLÓGICOS Y GEOFÍSICOS EN LA ZONA DE ESCUINAPA, EDO. DE SINALOA","SERVICIOS DE PROSPECCIÓN Y LEVANTAMIENTOS GEOLÓGICOS Y GEOFÍSICOS EN LA ZONA DE ESCUINAPA, EDO. DE SINALOA","ESTUDIOS GEOLÓGICOS Y OBRAS CIVILES, SOCIEDAD ANÓNIMA (EGEOCISA)",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),GZA-78-32-E,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0871_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0871_EC.pdf,SINALOA
878,AMBOS,1981,SINALOA,"ESTUDIO DE HIDROLOGÍA SUPERFICIAL Y SUBTERRÁNEA, EN LOS ARROYOS QUELITE, POZOLE Y PRESIDIO EN MAZATLÁN, ESTADO DE SINALOA","ESTUDIO DE HIDROLOGÍA SUPERFICIAL Y SUBTERRÁNEA, EN LOS ARROYOS QUELITE, POZOLE Y PRESIDIO EN MAZATLÁN, ESTADO DE SINALOA","TÉCNICAS MODERNAS DE INGENIERÍA, SOCIEDAD ANÓNIMA",SECRETARIA DE ASENTAMIENTOS HUMANOS Y OBRAS PÚBLICAS,402-134-605-EC-80,1,ANEXO 1 Y 2,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0878_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0878_EC.pdf,SINALOA
883,FÍSICO,2006,QUINTANA ROO,"AMPLIACIÓN DE LA RED PIEZOMÉTRICA EN EL ÁREA DEL CORREDOR TURÍSTICO CANCÚN-TULÚM, EDO. DE QUINTANA ROO","AMPLIACIÓN DE LA RED PIEZOMÉTRICA EN EL ÁREA DEL CORREDOR TURÍSTICO CANCÚN-TULÚM, ESTADO DE QUINTANA ROO",,COMISIÓN NACIONAL DEL AGUA (CONAGUA),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/23 QUINTANA ROO/PDF/0883_CC.pdf,,QUINTANA ROO
884,FÍSICO,2007,NUEVO LEÓN,"REACTIVACIÓN DE LA RED DE MONITOREO PIEZOMÉTRICO DEL ACUÍFERO DENOMINADO CANÓN DEL HUAJUCO, NUEVO LEÓN.","REACTIVACIÓN DE LA RED DE MONITOREO PIEZOMÉTRICO DEL ACUÍFERO DENOMINADO CANÓN DEL HUAJUCO, NUEVO LEÓN.",ESTUDIOS Y PROYECTOS DE AGUAS SUBTERRÁNEAS SOCIEDAD ANÓNIMA DE CAPITAL VARIABLE,COMISIÓN NACIONAL DEL AGUA (CONAGUA),SGT-OCRB-NL-07-GAS-111-RF-I3,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/19 NUEVO LEÓN/PDF/0884_CC.pdf,,NUEVO LEÓN
885,FÍSICO,2005,NUEVO LEÓN,"MEDICIONES PIEZOMÉTRICAS EN EL ACUÍFERO LAMPAZOS-VILLALDAMA, NUEVO LEÓN.
","MEDICIONES PIEZOMÉTRICAS EN EL ACUÍFERO LAMPAZOS-VILLALDAMA, NUEVO LEÓN.
",COPEI INGENIERÍA,COMISIÓN NACIONAL DEL AGUA (CONAGUA),SGT-RB-NL-05-GAS-061-RF-I3,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/19 NUEVO LEÓN/PDF/0885_CC.pdf,,NUEVO LEÓN
886,FÍSICO,2005,NUEVO LEÓN,"MEDICIONES PIEZOMÉTRICAS EN EL ACUÍFERO AGUALEGUAS-RAMONES, NUEVO LEÓN.
","MEDICIONES PIEZOMÉTRICAS EN EL ACUÍFERO AGUALEGUAS-RAMONES, NUEVO LEÓN.
",COPEI INGENIERÍA,COMISIÓN NACIONAL DEL AGUA (CONAGUA),SGT-RB-NL-05-GAS-061-RF-I3,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/19 NUEVO LEÓN/PDF/0886_CC.pdf,,NUEVO LEÓN
887,AMBOS,1981,SINALOA,"SERVICIOS DE PROSPECCIÓN Y LEVANTAMIENTO GEOLÓGICO Y GEOFÍSICO EN LOS VALLES DE EL CARRIZO, MOCORITO-PERICOS-CULIACÁN Y SAN LORENZO, EN EL ESTADO DE SINALOA","SERVICIOS DE PROSPECCIÓN Y LEVANTAMIENTO GEOLÓGICO Y GEOFÍSICO EN LOS VALLES DE EL CARRIZO, MOCORITO-PERICOS-CULIACÁN Y SAN LORENZO, EN EL ESTADO DE SINALOA","CONSULTORES, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),GZA-81-22-ED,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0887_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0887_EC.pdf,SINALOA
888,AMBOS,1981,SINALOA,SERVICIOS DE PROSPECCIÓN Y EJECUCIÓN DE SONDEOS GEOFÍSICOS EN DIVERSAS ZONAS DEL ESTADO DE SINALOA,SERVICIOS DE PROSPECCIÓN Y EJECUCIÓN DE SONDEOS GEOFÍSICOS EN DIVERSAS ZONAS DEL ESTADO DE SINALOA,"CONSULTORES, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),GZA-81-43-ED,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0888_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0888_EC.pdf,SINALOA
891,FÍSICO,2005,NUEVO LEÓN,"MEDICIONES PIEZOMÉTRICAS EN EL ACUÍFERO CHINA-GENERAL BRAVO, NUEVO LEÓN.
","MEDICIONES PIEZOMÉTRICAS EN EL ACUÍFERO CHINA-GENERAL BRAVO, NUEVO LEÓN.
",COPEI INGENIERÍA,COMISIÓN NACIONAL DEL AGUA (CONAGUA),SGT-RB-NL-05-GAS-061-RF-I3,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/19 NUEVO LEÓN/PDF/0891_CC.pdf,,NUEVO LEÓN
892,FÍSICO,2005,NUEVO LEÓN,"MEDICIONES PIEZOMÉTRICAS EN EL ACUÍFERO LAMPAZOS-ANAHUAC, NUEVO LEÓN.
","MEDICIONES PIEZOMÉTRICAS EN EL ACUÍFERO LAMPAZOS-ANAHUAC, NUEVO LEÓN.
",COPEI INGENIERÍA,COMISIÓN NACIONAL DEL AGUA (CONAGUA),SGT-RB-NL-05-GAS-061-RF-I3,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/19 NUEVO LEÓN/PDF/0892_CC.pdf,,NUEVO LEÓN
894,AMBOS,1967,SONORA,"ESTUDIO HIDROGEOLÓGICO PRELIMINAR DE LOS ACUÍFEROS DE LA COSTA DE HERMOSILLO, ESTADO DE SONORA.
ANEXO 5, 6 Y 7","ESTUDIO HIDROGEOLÓGICO PRELIMINAR DE LOS ACUÍFEROS DE LA COSTA DE HERMOSILLO, ESTADO DE SONORA.
ANEXO 5, 6 Y 7","ARIEL CONSTRUCCIONES, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),44,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0894_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0894_EC.pdf,SONORA
896,FÍSICO,2006,BAJA CALIFORNIA GUERRERO HIDALGO,"DETERMINACIÓN DE LA DISPONIBILIDAD DE AGUA SUBTERRÁNEA EN ACUÍFEROS LOCALIZADOS EN LOS ESTADOS DE BAJA CALIFORNIA , GUERRERO E HIDALGO. 
TOMO I. ACUÍFERO TIJUANA
TOMO III ACUÍFERO HUICHAPAN-TECOZAUTLA, ESTADO DE HIDALGO.","DETERMINACIÓN DE LA DISPONIBILIDAD DE AGUA SUBTERRÁNEA EN ACUÍFEROS LOCALIZADOS EN LOS ESTADOS DE BAJA CALIFORNIA , GUERRERO E HIDALGO. 
TOMO I. ACUÍFERO TIJUANA
TOMO III ACUÍFERO HUICHAPAN-TECOZAUTLA, ESTADO DE HIDALGO.",COMISIÓN NACIONAL DEL AGUA (CONAGUA),COMISIÓN NACIONAL DEL AGUA (CONAGUA),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/02 BAJA CALIFORNIA/PDF/0896_CC.pdf,,BAJA CALIFORNIA
897,AMBOS,1979,SONORA,"ESTUDIO PARA EL APROVECHAMIENTO DE LOS ACUÍFEROS SALINAS DEL VALLE RÍO YAQUI, EDO. DE SON.","ESTUDIO PARA EL APROVECHAMIENTO DE LOS ACUÍFEROS SALINAS DEL VALLE RÍO YAQUI, ESTADO DE SONORA","INGENIEROS CIVILES Y GEOLÓGOS ASOCIADOS, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),GZA-79-35GD,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0897_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0897_EC.pdf,SONORA
901,AMBOS,1968,SONORA,"ESTUDIO HIDROGEOLÓGICO COMPLETO DE LOS ACUÍFEROS DEL VALLE DE GUAYMAS, SON.","ESTUDIO HIDROGEOLÓGICO COMPLETO DE LOS ACUÍFEROS DEL VALLE DE GUAYMAS, SONORA","ARIEL CONSTRUCCIONES, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),EI-68-66,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0901_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0901_EC.pdf,SONORA
902,FÍSICO,2002,YUCATÁN,"MEDICIÓN PIEZOMÉTRICA EN EL ACUÍFERO COSTERO (LITORAL PONIENTE), DE LA PENÍNSULA DE YUCATÁN
ESTADO DE YUCATÁN","MEDICIÓN PIEZOMÉTRICA EN EL ACUÍFERO COSTERO (LITORAL PONIENTE), DE LA PENÍNSULA DE YUCATÁN
ESTADO DE YUCATÁN","INGENIERÍA AMBIENTAL DEL SURESTE, SOCIEDAD CIVIL PRIVADA",COMISIÓN NACIONAL DEL AGUA (CONAGUA),SGT-GRPY-YUC-02-039-CE-I3,1,2,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/31 YUCATÁN/PDF/0902_CC.pdf,,YUCATÁN
906,FÍSICO,2003,YUCATÁN,INSTRUMENTACIÓN Y MEDICIÓN DE LA RED PIEZOMÉTRICA DE LA ZONA COSTERA DEL ESTADO DE YUCATÁN.,INSTRUMENTACIÓN Y MEDICIÓN DE LA RED PIEZOMÉTRICA DE LA ZONA COSTERA DEL ESTADO DE YUCATÁN.,ODISER EMPRESARIAL SOCIEDAD ANÓNIMA,COMISIÓN NACIONAL DEL AGUA (CONAGUA),SGT-GRPY-YUC-03-060-CE-I3,1,2,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/31 YUCATÁN/PDF/0906_CC.pdf,,YUCATÁN
907,FÍSICO,1977,SONORA,"ESTUDIO GEOHIDROLÓGICO DE LAS CUENCAS ALTAS DE LOS RÍOS SONORA, SAN MIGUEL Y ZANJÓN
ANEXOS I, II Y III","ESTUDIO GEOHIDROLÓGICO DE LAS CUENCAS ALTAS DE LOS RÍOS SONORA, SAN MIGUEL Y ZANJÓN
ANEXOS I, II Y III","TÉCNICAS MODERNAS DE INGENIERÍA, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),ICS-77-12,1,3,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0907_CC.pdf,,SONORA
913,AMBOS,1970,SONORA,"ESTUDIOS GEOHIDROLÓGICOS DE LOS ACUÍFEROS EN LA CUENCA DEL RÍO MAGDALENA.
INFORME PRELIMINAR VOLUMEN 1 DICIEMBRE DE 1968
INFORMES MENSUALES DE ABRIL A DICIEMBRE DE 1969
INFORME PARCIAL 1 JUNIO 1969
INFORME PARCIAL 1 VOLUMEN 2 JUNIO 1969
INFORME PARCIAL 2 VOLUMEN 1 JUNIO 1969
INFORMES MENSUALES DE ENERO A ABRIL DE 1970
INFORME FINAL VOLUMEN 1, 3, 4, 5, 8  Y 9 JULIO 1970","ESTUDIOS GEOHIDROLÓGICOS DE LOS ACUÍFEROS EN LA CUENCA DEL RÍO MAGDALENA.
INFORME PRELIMINAR VOLUMEN 1 DICIEMBRE DE 1968
INFORMES MENSUALES DE ABRIL A DICIEMBRE DE 1969
INFORME PARCIAL 1 JUNIO 1969
INFORME PARCIAL 1 VOLUMEN 2 JUNIO 1969
INFORME PARCIAL 2 VOLUMEN 1 JUNIO 1969
INFORMES MENSUALES DE ENERO A ABRIL DE 1970
INFORME FINAL VOLUMEN 1, 3, 4, 5, 8  Y 9 JULIO 1970","PLANIMEX, INGENIEROS CONSULTORES, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0913_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0913_EC.pdf,SONORA
916,FÍSICO,2014,GUANAJUATO,"ESTUDIO DE INSTRUMENTACIÓN DE REDES DE MONITOREO PIEZOMÉTRICO EN LOS ACUÍFEROS DE IRAPUATO-VALLE, SALVATIERRA-ACÁMBARO, LAGO DE CUITZEO Y VALLE DE ACÁMBARO, EN EL ESTADO DE GUANAJUATO.","ESTUDIO DE INSTRUMENTACIÓN DE REDES DE MONITOREO PIEZOMÉTRICO EN LOS ACUÍFEROS DE IRAPUATO-VALLE, SALVATIERRA-ACÁMBARO, LAGO DE CUITZEO Y VALLE DE ACÁMBARO, EN EL ESTADO DE GUANAJUATO.","SERVICIOS DE INGENIERÍA E INVESTIGACIÓN DEL MEDIO AMBIENTE, SOCIEDAD CIVIL (SIIMA)",COMISIÓN NACIONAL DEL AGUA (CONAGUA),SGT-OCLSP-GTO-14EP-060-RF-13,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/11 GUANAJUATO/PDF/0916_CC.pdf,,GUANAJUATO
918,AMBOS,1970,SONORA,"ESTUDIO GEOHIDROLÓGICO DEL VALLE DEL YAQUI SONORA (DISTRITO DE RIEGO NO. 41)
VOLUMEN III","ESTUDIO GEOHIDROLÓGICO DEL VALLE DEL YAQUI SONORA (DISTRITO DE RIEGO NO. 41)
VOLUMEN III",COMPAÑÍA MEXICANA AEROFOTO,SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0918_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0918_EC.pdf,SONORA
919,AMBOS,1973,SONORA,"INFORME FINAL DEL ESTUDIO GEOHIDROLÓGICO PARA LA FUTURA PLANTA ""LA CARIDAD"" DE LA CIA. MEXICANA DE COBRE, S.A. EN NACOZARI, SON.","INFORME FINAL DEL ESTUDIO GEOHIDROLÓGICO PARA LA FUTURA PLANTA ""LA CARIDAD"" DE LA CIA. MEXICANA DE COBRE, S.A. EN NACOZARI, ESTADO DE SONORA","HIDROTEC, SOCIEDAD ANÓNIMA","COMPAÑÍA MEXICANA DE COBRE, SOCIEDAD ANÓNIMA ",,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0919_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0919_EC.pdf,SONORA
921,AMBOS,1970,SONORA,"ESTUDIO GEOHIDROLÓGICO DE LOS ACUÍFEROS EN EL VALLE DEL RÍO MAYO - SONORA
INFORME MENSUAL OCTUBRE 1968
INFORME FINAL VOLUMEN 2
ANEXO IV CENSO DE LOS POZOS EXISTENTES JUNIO 1970","ESTUDIO GEOHIDROLÓGICO DE LOS ACUÍFEROS EN EL VALLE DEL RÍO MAYO - SONORA
INFORME MENSUAL OCTUBRE 1968
INFORME FINAL VOLUMEN 2
ANEXO IV CENSO DE LOS POZOS EXISTENTES JUNIO 1970","PLANIMEX, INGENIEROS CONSULTORES, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0921_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0921_EC.pdf,SONORA
922,AMBOS,1967,SONORA,"ESTUDIO HIDROGEOLÓGICO PRELIMINAR DE LOS ACUÍFEROS DEL VALLE DE GUAYMAS, SON.","ESTUDIO HIDROGEOLÓGICO PRELIMINAR DE LOS ACUÍFEROS DEL VALLE DE GUAYMAS, ESTADO DE SONORA","ARIEL CONSTRUCCIONES, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),45 CLAVE AS-3,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0922_CC.pdf,,SONORA
924,FÍSICO,1968,BAJA CALIFORNIA SONORA,"ESTUDIO HIDROGEOLÓGICO PRELIMINAR DE LOS ACUÍFEROS DEL VALLE DE MEXICALI, B.C.  Y MESA DE SAN LUIS, SON.","ESTUDIO HIDROGEOLÓGICO PRELIMINAR DE LOS ACUÍFEROS DEL VALLE DE MEXICALI, B.C.  Y MESA DE SAN LUIS, ESTADO DE SONORA","ARIEL CONSTRUCCIONES, SOCIEDAD ANÓNIMA",,AS-1,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/02 BAJA CALIFORNIA/PDF/0924_CC.pdf,,BAJA CALIFORNIA
991,AMBOS,1985,SONORA,"ESTUDIO TECTÓNICO GEOQUÍMICO Y GEOTÉRMICO DEL ACUÍFERO DEL VALLE GUAYMAS, SON.","ESTUDIO TECTÓNICO GEOQUÍMICO Y GEOTÉRMICO DEL ACUÍFERO DEL VALLE GUAYMAS, SONORA",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM),SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0991_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0991_EC.pdf,SONORA
1008,AMBOS,1971,SONORA,ESTUDIO DE FACTIBILIDAD DE LAS ALTERNATIVAS DE APROVECHAMIENTO HIDRÁULICO DE LA CUENCA DEL RÍO SONORA,ESTUDIO DE FACTIBILIDAD DE LAS ALTERNATIVAS DE APROVECHAMIENTO HIDRÁULICO DE LA CUENCA DEL RÍO SONORA,"ARIEL CONSTRUCCIONES, SOCIEDAD ANÓNIMA",,EI-71-14,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/1008_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/1008_EC.pdf,SONORA
1032,AMBOS,1974,TABASCO,ESTUDIO GEOHIDROLÓGICO EN DIVERSAS ZONAS DEL ESTADO DE TABASCO,ESTUDIO GEOHIDROLÓGICO EN DIVERSAS ZONAS DEL ESTADO DE TABASCO,"CONSULTORES EN CIENCIAS DE LA TIERRA, SOCIEDAD ANÓNIMA DE CAPITAL VARIABLE",COMISIÓN NACIONAL DEL AGUA (CONAGUA),SGAA/90-27,1,2,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/27 TABASCO/PDF/1032_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/27 TABASCO/PDF/1032_EC.pdf,TABASCO
